"id","year","cntry","income","loginc","weights","Father_Edu","Mother_Edu","Sex","Birth_Area","Religion"
8580,2011,"NPL",486.999167979727,9.12713476099755,908.078552246094,1,1,0,11,1
8581,2011,"NPL",487.594326818159,9.15364616862538,949.032897949219,1,1,0,11,1
8582,2011,"NPL",379.89507409517,8.91914975376626,908.078552246094,1,1,0,11,1
8583,2011,"NPL",1118.84358233044,10.0133125218777,949.243713378906,1,1,0,11,3
8584,2011,"NPL",491.312761054825,9.15364616862538,949.032897949219,1,1,1,11,1
8585,2011,"NPL",12615.473783602,12.4219027832332,949.243713378906,5,4,1,11,1
8586,2011,"NPL",3807.84708958361,11.237650805825,908.078552246094,1,1,1,11,1
8587,2011,"NPL",719.739756409185,9.5496966492747,949.243713378906,1,1,1,11,1
8588,2011,"NPL",1198.44429154095,10.0777162764774,949.243774414062,1,2,0,11,1
8589,2011,"NPL",799.834076236198,9.65521125348672,949.243774414062,1,1,0,11,3
8590,2011,"NPL",1867.30329701395,10.5244364058223,949.243713378906,1,1,0,11,1
8591,2011,"NPL",141.697218245375,7.92755737603851,908.078552246094,1,1,1,11,1
8592,2011,"NPL",1622.91483660318,10.3776775653394,908.078491210938,1,1,1,11,1
8593,2011,"NPL",3835.01721705839,11.237650805825,908.078552246094,1,1,0,11,1
8594,2011,"NPL",496.686482337542,9.19368060937852,949.243774414062,1,1,0,11,1
8595,2011,"NPL",1173.84955336036,10.0569805489216,949.243774414062,2,2,1,11,1
8596,2011,"NPL",1147.70768273474,10.0389978596626,709.1865234375,1,1,1,11,1
8597,2011,"NPL",681.391913274931,9.46775676228581,949.243713378906,1,1,1,11,1
8598,2011,"NPL",1723.2446728249,10.4394100788897,908.078552246094,3,1,0,11,1
8599,2011,"NPL",653.60199250407,9.44299544480069,908.078552246094,1,1,0,11,1
8600,2011,"NPL",396.972060285446,8.95471231113011,949.243774414062,1,1,0,11,1
8601,2011,"NPL",10208.3700618082,12.1834288366787,1134.33850097656,2,1,0,11,1
8602,2011,"NPL",443.348084296863,9.01208342882042,908.07861328125,1,1,0,11,1
8603,2011,"NPL",1194.55672310031,10.0777162764774,949.243774414062,2,2,1,11,1
8604,2011,"NPL",972.966561542079,9.87382566221752,949.243774414062,2,1,1,11,3
8605,2011,"NPL",161.276583837093,8.04361765584573,908.078552246094,2,1,0,11,1
8606,2011,"NPL",763.289834582133,9.60180022698825,949.243713378906,2,1,0,11,3
8607,2011,"NPL",1819.5036047872,10.4829525935413,949.032897949219,1,2,1,11,1
8608,2011,"NPL",641.476197612317,9.44299544480069,908.078552246094,1,1,1,11,1
8609,2011,"NPL",912.742355069966,9.75042746096125,949.243713378906,1,1,0,11,1
8610,2011,"NPL",2062.44601343225,10.6055128033911,949.032958984375,1,1,0,11,1
8611,2011,"NPL",537.877763656656,9.28088885416222,908.078552246094,1,1,1,11,1
8612,2011,"NPL",199.037066614466,8.28242777727516,949.032897949219,1,1,1,11,1
8613,2011,"NPL",1175.78747893856,10.0133125218777,949.243713378906,1,1,0,11,3
8614,2011,"NPL",516.931753369421,9.19152998564523,908.078552246094,1,1,0,11,1
8615,2011,"NPL",596.857496396482,9.32558825239594,949.243713378906,1,1,1,11,1
8616,2011,"NPL",1122.83591599287,10.0073686359249,709.1865234375,1,1,0,11,1
8617,2011,"NPL",543.814892259754,9.26272642288243,949.243713378906,1,1,1,11,3
8618,2011,"NPL",346.486697427872,8.80829365766077,949.243713378906,1,1,0,11,3
8619,2011,"NPL",672.62738025351,9.46775676228581,949.243713378906,1,1,0,11,1
8620,2011,"NPL",6297.6456019172,11.7401169524902,949.032958984375,1,1,1,11,1
8621,2011,"NPL",570.894886039422,9.33939092915366,949.032897949219,1,1,1,11,1
8622,2011,"NPL",221.878612168633,8.3923776781362,949.243774414062,1,1,0,11,1
8623,2011,"NPL",2951.69242822372,10.9823198132514,908.078552246094,1,1,0,11,3
8624,2011,"NPL",237.215848705631,8.3923776781362,949.243774414062,1,1,0,11,1
8625,2011,"NPL",335.542616816717,8.77991137912917,1261.67138671875,1,1,0,7,1
8626,2011,"NPL",3634.72658376427,11.190465469063,1318.57263183594,1,1,0,7,1
8627,2011,"NPL",263.249750419984,8.41488977303758,1318.86572265625,1,1,0,7,1
8628,2011,"NPL",551.354462921354,9.25599703564438,1318.86572265625,1,1,1,7,1
8629,2011,"NPL",810.675592774797,9.60977090651878,1318.86560058594,1,1,0,7,1
8630,2011,"NPL",544.768237738031,9.29168483366038,1318.86572265625,1,1,0,7,1
8631,2011,"NPL",2089.24252407571,10.56228507457,709.1865234375,1,1,1,7,1
8632,2011,"NPL",538.941675145204,9.26347221650629,1261.67138671875,1,1,0,7,1
8633,2011,"NPL",662.328395315472,9.37530251427881,1318.86572265625,1,1,0,7,1
8634,2011,"NPL",530.18445731354,9.26347221650629,1261.67138671875,2,1,1,7,1
8635,2011,"NPL",695.401123397432,9.53580097075503,1261.67138671875,2,1,1,7,1
8636,2011,"NPL",6662.30233880207,11.7964062242525,949.243713378906,1,1,0,7,1
8637,2011,"NPL",3001.40481596078,10.9457693043391,949.032958984375,3,1,0,7,1
8638,2011,"NPL",5527.53746092955,11.5611753215279,1261.67126464844,2,1,0,7,1
8639,2011,"NPL",529.649453794235,9.25599703564438,1318.86572265625,2,2,0,7,1
8640,2011,"NPL",1936.76930648795,10.5622511443108,1318.86560058594,2,1,0,7,1
8641,2011,"NPL",411.34354270774,8.97604433438085,1261.67138671875,1,1,0,7,1
8642,2011,"NPL",1538.30233215434,10.3122628296925,1318.86572265625,2,1,0,7,1
8643,2011,"NPL",2678.09656794173,10.8604316645072,1318.86560058594,1,1,0,7,1
